,City Name,Country,Latitude,Longitude,Maximum Temperature (d/c),Humidity (%),Cloudiness (%),Wind Speed (km/h),Date
0,Punta Arenas,CL,-53.15,-70.9167,1.06,86,20,2.06,1651841108
1,Chui,UY,-33.6971,-53.4616,16.19,67,0,2.31,1651841108
2,Suffolk,US,40.8668,-72.7996,13.95,88,100,2.57,1651841108
3,Puerto Escondido,MX,15.85,-97.0667,23.46,83,0,3.09,1651841109
4,Yellowknife,CA,62.456,-114.3525,6.29,70,75,3.6,1651841109
5,Grindavik,IS,63.8424,-22.4338,4.97,65,75,8.23,1651841110
6,Paamiut,GL,61.994,-49.6678,1.11,99,100,1.37,1651841110
7,Alofi,NU,-19.0595,-169.9187,20.94,94,0,0.51,1651841110
8,Barrow,US,71.2906,-156.7887,-6.99,86,100,5.14,1651841111
9,Napanee,CA,44.2501,-76.9494,11.14,58,100,5.67,1651841111
10,Mossamedes,AO,-15.1961,12.1522,35.35,41,0,2.57,1651841111
11,Hilo,US,19.7297,-155.09,26.27,93,75,2.06,1651841112
12,Ushuaia,AR,-54.8,-68.3,2.81,75,40,5.66,1651841112
13,Bredasdorp,ZA,-34.5322,20.0403,17.53,74,100,5.43,1651841112
14,Huejuquilla el Alto,MX,22.6,-103.8667,15.65,46,0,0.92,1651841113
15,Hofn,IS,64.2539,-15.2082,6.01,33,0,11.83,1651841113
16,Kahului,US,20.8947,-156.47,23.8,76,75,6.26,1651841113
17,Tautira,PF,-17.7333,-149.15,27.17,75,22,1.89,1651841114
18,Ambon City,ID,-3.6954,128.1814,26.08,94,40,0.51,1651840941
19,Atuona,PF,-9.8,-139.0333,26.1,67,57,7.65,1651840909
20,Ust-Nera,RU,64.5667,143.2,-2.4,97,93,2.63,1651841115
21,Morehead,US,37.2711,-87.1764,17.14,97,40,2.06,1651841115
22,Mataura,NZ,-46.1927,168.8643,10.27,89,100,1.05,1651841115
23,Jamestown,US,42.097,-79.2353,12.23,90,100,3.09,1651841116
24,Lompoc,US,34.6391,-120.4579,11.62,88,100,9.83,1651841116
25,Vaini,TO,-21.2,-175.2,23.09,88,20,2.06,1651841117
26,Young,UY,-32.6833,-57.6333,17.45,78,56,1.54,1651841117
27,Severo-Kuril'sk,RU,50.6789,156.125,2.08,82,10,2.48,1651841117
28,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,20.89,54,0,1.74,1651841118
29,St. George's,GD,12.0564,-61.7485,28.82,70,40,7.72,1651841118
30,Ancud,CL,-41.8697,-73.8203,11.18,90,100,2.7,1651841118
31,Rikitea,PF,-23.1203,-134.9692,25.28,86,100,6.28,1651841119
32,Lady Frere,ZA,-31.7031,27.2329,25.17,20,3,5.32,1651841119
33,Hermanus,ZA,-34.4187,19.2345,14.33,91,100,7.03,1651841119
34,Cloquet,US,46.7216,-92.4594,5.75,72,0,3.09,1651841120
35,Kapaa,US,22.0752,-159.319,24.18,85,100,9.26,1651841120
36,Cherskiy,RU,68.75,161.3,-0.31,99,100,2.88,1651841120
37,New Norfolk,AU,-42.7826,147.0587,10.72,74,100,0.45,1651840886
38,Vila Velha,BR,-20.3297,-40.2925,24.97,83,100,4.63,1651841121
39,Kruisfontein,ZA,-34.0033,24.7314,19.16,64,53,7.82,1651841121
40,Nizhniy Baskunchak,RU,48.2198,46.8311,13.75,26,100,9.82,1651841122
41,Saskylakh,RU,71.9167,114.0833,-7.74,83,100,7.06,1651841122
42,Bathsheba,BB,13.2167,-59.5167,27.34,78,20,7.72,1651841122
43,Ankazoabo,MG,-22.2833,44.5167,31.2,32,30,2.43,1651841122
44,Arraial do Cabo,BR,-22.9661,-42.0278,22.92,88,75,8.23,1651841123
45,Pevek,RU,69.7008,170.3133,-7.66,94,100,2.53,1651841123
46,Inta,RU,66.0317,60.1659,-1.35,61,100,5.56,1651841123
47,Bethel,US,41.3712,-73.414,14.29,67,100,1.54,1651841129
48,Laas,IT,46.6166,10.7002,14.27,96,100,0.92,1651841129
49,Bambous Virieux,MU,-20.3428,57.7575,26.23,69,75,6.69,1651841129
50,Albany,US,42.6001,-73.9662,12.52,60,100,1.22,1651841130
51,Nyurba,RU,63.2842,118.3319,0.94,99,88,2.09,1651841130
52,Mount Isa,AU,-20.7333,139.5,18.87,42,37,5.14,1651841130
53,Port Elizabeth,ZA,-33.918,25.5701,20.73,80,40,7.72,1651841131
54,Port Blair,IN,11.6667,92.75,26.02,89,100,3.09,1651841131
55,Hithadhoo,MV,-0.6,73.0833,29.46,74,63,7.04,1651841131
56,Dikson,RU,73.5069,80.5464,-8.43,78,89,7.43,1651841132
57,Flinders,AU,-34.5833,150.8552,11.77,67,0,0.89,1651841132
58,Pozo Colorado,PY,-23.4923,-58.7972,20.75,70,0,1.6,1651841132
59,Vaitape,PF,-16.5167,-151.75,26.94,76,21,0.95,1651841133
60,Dhidhdhoo,MV,6.8833,73.1,29.61,71,63,5.44,1651841133
61,Torbay,CA,47.6666,-52.7314,5.88,94,100,6.17,1651841133
62,Bengkulu,ID,-3.8004,102.2655,25.88,89,100,3.36,1651840841
63,Berlevåg,NO,70.8578,29.0864,4.89,83,100,9.96,1651841134
64,Pantai Remis,MY,4.4557,100.6288,30.01,85,100,3.52,1651841134
65,Westport,US,41.1415,-73.3579,14.22,87,100,4.12,1651841135
66,Skibbereen,IE,51.55,-9.2667,14.5,93,100,7.98,1651841135
67,Mogadishu,SO,2.0371,45.3438,30.93,74,20,7.2,1651840851
68,La Asuncion,VE,11.0333,-63.8628,26.37,79,87,6.54,1651841135
69,Bandarbeyla,SO,9.4942,50.8122,30.22,72,0,8.12,1651841136
70,Port Hedland,AU,-20.3167,118.5667,25.03,36,0,3.6,1651841136
71,Port Said,EG,31.2565,32.2841,21.99,64,0,5.14,1651841137
72,Denpasar,ID,-8.65,115.2167,28.81,88,20,3.6,1651840873
73,Nishihara,JP,26.1842,127.7558,23.6,97,100,6.17,1651841066
74,Te Anau,NZ,-45.4167,167.7167,11.83,94,100,0.66,1651841137
75,Saint Paul Harbor,US,57.79,-152.4072,5.73,75,100,4.12,1651841138
76,Senanga,ZM,-16.1167,23.2667,25.63,43,100,1.27,1651841139
77,Sitka,US,57.0531,-135.33,2.94,93,100,0.0,1651841139
78,Tasiilaq,GL,65.6145,-37.6368,-1.91,48,25,2.6,1651841139
79,La Ronge,CA,55.1001,-105.2842,2.14,93,100,4.63,1651841140
80,Jalu,LY,29.0331,21.5482,33.48,11,100,5.07,1651841140
81,Cape Town,ZA,-33.9258,18.4232,15.23,93,75,3.13,1651841063
82,Fortuna,US,40.5982,-124.1573,14.4,92,100,2.24,1651841141
83,Ostrovnoy,RU,68.0531,39.5131,2.16,99,100,6.74,1651841141
84,Avarua,CK,-21.2078,-159.775,23.03,100,23,1.03,1651841141
85,Busselton,AU,-33.65,115.3333,13.73,61,0,3.14,1651841142
86,Kuito,AO,-12.3833,16.9333,24.08,78,0,2.57,1651841142
87,Korla,CN,41.7597,86.1469,25.8,31,100,4.31,1651841143
88,Forsytheganj,BY,52.6333,29.7333,15.94,42,72,3.8,1651841143
89,George Town,MY,5.4112,100.3354,30.96,82,20,4.63,1651841105
90,Butaritari,KI,3.0707,172.7902,27.6,69,100,7.31,1651841144
91,Contamana,PE,-7.3333,-75.0167,24.47,62,26,0.53,1651841149
92,Ripky,UA,51.801,31.0838,18.39,44,23,3.66,1651841149
93,Qaanaaq,GL,77.484,-69.3632,-8.19,72,100,4.6,1651841150
94,Kaitangata,NZ,-46.2817,169.8464,12.48,82,100,1.34,1651841150
95,Yaan,NG,7.3833,8.5667,31.41,50,100,3.44,1651841150
96,Lebu,CL,-37.6167,-73.65,11.61,85,4,2.21,1651841151
97,San Cristobal,VE,7.7669,-72.225,21.1,58,81,0.84,1651841152
98,Nouakchott,MR,18.0858,-15.9785,33.96,45,0,5.04,1651840925
99,Anjiang,CN,27.3194,110.1031,20.8,91,100,0.47,1651841152
100,Samarai,PG,-10.6167,150.6667,28.0,80,100,4.8,1651841153
101,Ustka,PL,54.5805,16.8619,11.86,69,14,5.66,1651840913
102,Mar del Plata,AR,-38.0023,-57.5575,14.97,71,0,3.09,1651841153
103,Isangel,VU,-19.55,169.2667,22.06,94,27,2.06,1651841153
104,Nanortalik,GL,60.1432,-45.2371,2.11,99,100,5.11,1651841154
105,Ca Mau,VN,9.1769,105.15,27.43,83,100,2.83,1651841154
106,Yaring,TH,6.8662,101.3689,28.49,85,100,4.18,1651841154
107,Rong Kwang,TH,18.339,100.3174,26.65,72,29,1.34,1651841155
108,Kadom,RU,54.5592,42.4675,11.95,40,32,2.11,1651841155
109,Cidreira,BR,-30.1811,-50.2056,18.17,66,0,1.47,1651841155
110,Port Hardy,CA,50.6996,-127.4199,6.0,93,40,1.54,1651841156
111,Bilibino,RU,68.0546,166.4372,-3.04,93,100,0.84,1651841156
112,Shaki,AZ,41.0833,47.1667,22.11,51,87,4.21,1651841157
113,Faanui,PF,-16.4833,-151.75,26.94,76,16,0.88,1651841157
114,Havøysund,NO,70.9963,24.6622,7.13,94,92,10.34,1651841157
115,Joshīmath,IN,30.5667,79.5667,18.17,76,99,2.74,1651841158
116,Valparaíso,CL,-33.0393,-71.6273,13.04,84,100,1.03,1651841162
117,Hong Kong,HK,22.2855,114.1577,26.03,80,100,4.02,1651841140
118,Iquitos,PE,-3.7481,-73.2472,23.02,94,100,0.0,1651841163
